id,label
0,2
1,2
2,2
3,0
4,2
5,0
6,2
7,2
8,0
9,1
10,0
11,1
12,0
13,0
14,0
15,0
16,0
17,2
18,1
19,2
20,1
21,2
22,0
23,1
24,2
25,1
26,0
27,1
28,1
29,1
30,0
31,0
32,1
33,2
34,2
35,1
36,1
37,0
38,2
39,1
40,0
41,0
42,2
43,2
44,2
45,1
46,2
47,1
48,2
49,1
50,2
51,1
52,1
53,2
54,1
55,1
56,2
57,1
58,2
59,2
60,2
61,2
62,1
63,2
64,1
65,1
66,1
67,1
68,2
69,0
70,0
71,2
72,0
73,1
74,2
75,2
76,0
77,2
78,2
79,2
80,0
81,0
82,2
83,0
84,2
85,0
86,0
87,2
88,1
89,2
90,0
91,2
92,2
93,2
94,0
95,0
96,0
97,2
98,1
99,2
100,2
101,1
102,2
103,1
104,0
105,2
106,0
107,1
108,1
109,1
110,0
111,0
112,1
113,2
114,1
115,0
116,1
117,2
118,2
119,2
120,1
121,2
122,1
123,0
124,1
125,2
126,0
127,1
128,1
129,1
130,2
131,1
132,0
133,1
134,1
135,0
136,0
137,1
138,2
139,2
140,0
141,0
142,2
143,0
144,0
145,1
146,1
147,2
148,1
149,0
150,1
151,0
152,1
153,1
154,0
155,2
156,0
157,2
158,0
159,0
160,2
161,0
162,0
163,2
164,1
165,2
166,2
167,2
168,2
169,0
170,1
171,0
172,1
173,0
174,0
175,2
176,2
177,2
178,2
179,0
180,2
181,0
182,1
183,1
184,1
185,2
186,1
187,2
188,0
189,2
190,2
191,1
192,2
193,2
194,1
195,0
196,2
197,1
198,2
199,1
200,2
201,1
202,1
203,0
204,2
205,1
206,0
207,2
208,1
209,1
210,1
211,1
212,0
213,0
214,2
215,1
216,2
217,2
218,0
219,1
220,1
221,1
222,0
223,2
224,0
225,0
226,0
227,1
228,1
229,1
230,2
231,0
232,1
233,1
234,1
235,0
236,2
237,1
238,1
239,2
240,1
241,0
242,2
243,0
244,1
245,2
246,0
247,2
248,0
249,0
250,0
251,1
252,0
253,0
254,2
255,2
256,2
257,0
258,0
259,1
260,1
261,1
262,0
263,1
264,0
265,2
266,1
267,1
268,2
269,2
270,0
271,2
272,1
273,0
274,1
275,1
276,1
277,1
278,0
279,0
280,0
281,0
282,2
283,0
284,1
285,1
286,1
287,2
288,0
289,2
290,0
291,0
292,0
293,1
294,1
295,0
296,2
297,0
298,2
299,1
300,0
301,1
302,1
303,2
304,2
305,2
306,2
307,0
308,1
309,1
310,2
311,2
312,2
313,1
314,2
315,1
316,0
317,0
318,2
319,2
320,2
321,2
322,0
323,1
324,1
325,1
326,2
327,2
328,1
329,1
330,0
331,0
332,1
333,1
334,0
335,0
336,0
337,0
338,1
339,2
340,2
341,2
342,1
343,2
344,0
345,1
346,2
347,0
348,0
349,2
350,0
351,1
352,2
353,0
354,0
355,1
356,0
357,1
358,2
359,2
360,0
361,0
362,0
363,1
364,1
365,0
366,0
367,0
368,0
369,2
370,1
371,1
372,2
373,1
374,0
375,2
376,2
377,0
378,2
379,1
380,0
381,1
382,1
383,0
384,1
385,2
386,2
387,1
388,0
389,0
390,1
391,1
392,1
393,0
394,1
395,0
396,0
397,0
398,2
399,1
400,1
401,1
402,2
403,0
404,0
405,0
406,2
407,0
408,0
409,2
410,1
411,1
412,1
413,1
414,2
415,1
416,1
417,1
418,1
419,0
420,2
421,0
422,0
423,2
424,1
425,1
426,0
427,1
428,2
429,0
430,0
431,0
432,2
433,0
434,1
435,0
436,1
437,0
438,2
439,2
440,0
441,0
442,0
443,2
444,1
445,2
446,2
447,0
448,1
449,1
450,1
451,2
452,0
453,2
454,0
455,0
456,0
457,0
458,2
459,2
460,2
461,2
462,1
463,2
464,1
465,0
466,1
467,0
468,0
469,2
470,0
471,2
472,2
473,2
474,0
475,1
476,0
477,2
478,2
479,0
480,2
481,0
482,1
483,0
484,1
485,2
486,2
487,0
488,2
489,1
490,2
491,1
492,2
493,1
494,0
495,0
496,1
497,2
498,0
499,1
500,0
501,0
502,0
503,0
504,1
505,0
506,2
507,2
508,0
509,1
510,2
511,1
512,0
513,1
514,0
515,0
516,2
517,1
518,0
519,2
520,2
521,0
522,1
523,2
524,1
525,0
526,2
527,0
528,0
529,0
530,1
531,1
532,1
533,1
534,2
535,0
536,1
537,2
538,2
539,0
540,1
541,0
542,1
543,2
544,1
545,1
546,1
